title,en,da_s,da_t,de_s,de_t,pt_s,pt_t
EXTRA_DEBUG_DESCRIPTION,Enables extra debug logging,Aktiver ekstra debug logning,Enable additional debug logging,Aktiviert zusätzliche Debug-logging,Enables additional debug logging,Habilita log adicional de depuração,Enable additional debug logging
INFORMATION_NAME,Information Storage and Access,Opbevaring og adgang til information,Storage and access to information,Informationsspeicherung und -zugriff,Information Storage and Access,Armazenamento e Acesso à Informação,Storage and Access to Information
INFORMATION_DESCRIPTION,"Storage of information or access to information that is already stored on your device - such as advertising identifiers, device identifiers, cookies, and similar technologies.","Lagring af information eller adgang til information, der allerede er gemt på din enhed - såsom reklame-id'er, enhedsidentifikatorer, cookies og lignende teknologier.","Storing information or accessing information already stored on your device - such as advertising IDs, device identifiers, cookies and similar technologies.","Speicherung von Informationen oder Zugriff auf Informationen, die bereits auf Ihrem Gerät gespeichert sind - wie Werbekennungen, Gerätekennungen, Cookies und ähnliche Technologien.","Storing information or accessing information already stored on your device - such as advertising identifiers, device identifiers, cookies and similar technologies.","Armazenamento de informações ou acesso à informações que já estão armazenadas em seu dispositivo - como identificadores publicitários, identificadores de dispositivo, cookies e tecnologias semelhantes.","Storing information or accessing information that is already stored on your device - such as advertising identifiers, device identifiers, cookies and similar technologies."
PREFERENCES_NAME,Preferences and Functionality,Præferencer og funktionalitet,Preferences and functionality,Präferenzen und Funktionalitäten,Preferences and Functionalities,Preferências e Funcionalidade,Preferences and Functionality
PREFERENCES_DESCRIPTION,"Allow sites to remember choices you make (such as your user name, language or the region you are located in) and provide enhanced, more personal features. For instance, these cookies can be used to remember your login details, changes you have made to text size, fonts and other parts of web pages that you can customize. They may also be used to provide services you have asked for such as watching a video or commenting on a blog. The information in these cookies is not used to track your browsing activity on other websites.","Tillad websteder at huske valg, du laver (f.eks. dit brugernavn, sprog eller den region du er placeret i) og giver forbedrede, mere personlige funktioner. For eksempel kan disse cookies bruges til at huske dine loginoplysninger, ændringer, du har lavet til tekststørrelse, skrifttyper og andre dele af websider, som du kan tilpasse. De kan også bruges til at levere tjenester, du har bedt om, f.eks. at se en video eller kommentere på en blog. Oplysningerne i disse cookies bruges ikke til at spore din browsingaktivitet på andre hjemmesider.","Allow websites to remember choices you make (such as your username, language, or the region you're located in) and provide enhanced, more personalized features. For example, these cookies can be used to remember your login details, changes you have made to text size, fonts and other parts of web pages that you can customize. They may also be used to provide services you have requested, e.g. to watch a video or comment on a blog. The information in these cookies is not used to track your browsing activity on other websites.","Erlauben Sie es den Websites, sich an die von Ihnen getroffene Wahl zu erinnern (z. B. an Ihren Benutzernamen, Sprache oder die Region, in der Sie sich befinden) und verbesserte, persönlichere Funktionen bereitzustellen. Diese Cookies können zum Beispiel verwendet werden, um Ihre Anmeldedaten, Änderungen an der Textgröße und Schriftarten und anderen Teile der Webseiten, die Sie anpassen können, zu speichern. Sie können auch dazu verwendet werden, um Dienste, die Sie angefordert haben, bereitzustellen, wie z. B. das Ansehen eines Videos oder das Kommentieren in einem Blog. Die Informationen in diesen Cookies werden nicht dazu verwendet, um Ihre Surfaktivitäten auf anderen Websites zu verfolgen.","Allow websites to remember choices you make (such as your username, language, or the region you are in) and provide enhanced, more personal features. For example, these cookies can be used to remember your login details, changes to text size and fonts and other parts of web pages that you can customise. They can also be used to provide services you have requested, such as B. watching a video or commenting on a blog. The information in these cookies is not used to track your browsing activity on other websites.","Permita que os sites lembrem as escolhas que você faz (como seu nome de usuário, idioma ou região em que você está localizado) e forneçam recursos aprimorados e mais personalizados. Por exemplo, esses cookies podem ser usados para lembrar seus detalhes de login, alterações feitas no tamanho do texto, fontes e outros atributos de páginas da web que você pode personalizar. Eles também podem ser usados para fornecer serviços que você solicitou, como assistir a um vídeo ou comentar em um blog. As informações nesses cookies não são usadas para rastrear sua atividade de navegação em outros sites.","Allow websites to remember choices you make (such as your username, language, or the region you are located in) and provide enhanced, more personalized features. For example, these cookies may be used to remember your login details, changes made to text size, fonts and other attributes of web pages that you can customize. They can also be used to provide services you have requested, such as watching a video or commenting on a blog. The information in these cookies is not used to track your browsing activity on other websites."
PERFORMANCE_NAME,Performance and Analytics,Ydelse og analyse,Performance and analysis,Leistung und Analytik,performance and analytics,Desempenho e Analytics,Performance and Analytics
PERFORMANCE_DESCRIPTION,"The collection of information, and combination with previously collected information, to measure, understand, and report, on your usage of the services. This allows websites to count visits and traffic sources so they can measure and improve the performance of the site. It helps them know which pages are the most and least popular, see how visitors move around the site, and where visitors come from.","Indsamling af oplysninger og kombination med tidligere indsamlede oplysninger, til at måle, forstå og rapporterer på din brug af tjenesterne. Dette gør det muligt for websteder at tælle besøg og trafikkilder, så de kan måle og forbedre ydeevnen på webstedet. Det hjælper dem med at vide, hvilke sider der er mest og mindst populære, se hvordan besøgende bevæger sig rundt på webstedet, og hvor besøgende kommer fra.","Collection of information and combination with previously collected information to measure, understand and report on your use of the Services. This allows websites to count visits and traffic sources so they can measure and improve website performance. It helps them know which pages are most and least popular, see how visitors move around the site, and where visitors are coming from.","Die Sammlung von Informationen und die Kombination mit zuvor gesammelten Informationen, um Ihre Nutzung der Dienste zu messen, zu verstehen und darüber zu berichten. Auf diese Weise können Websites Besuche und Quellen zählen, damit sie die Leistung der Website messen und verbessern können. Auf diese Weise erfahren sie, welche Seiten am beliebtesten und am unbeliebtesten sind, wie sich die Besucher auf der Website bewegen und woher sie kommen.","Collecting information and combining it with previously collected information to measure, understand and report on your use of the Services. This allows websites to count visits and sources so they can measure and improve website performance. This lets them know which pages are the most popular and least popular, how visitors move around the site and where they are coming from.","Coleta de informações e combinação com informações coletadas anteriormente para medir, entender e relatar o seu uso dos serviços. Isso permite que os sites contem visitas e origens de tráfego para que possam medir e melhorar o desempenho do site. Isso os ajuda a saber quais páginas são as mais e menos populares, ver como os visitantes navegam pelo site e de onde vêm os visitantes.","Collection of information and combination with previously collected information to measure, understand and report on your use of the Services. This allows sites to count visits and traffic sources so they can measure and improve site performance. This helps them know which pages are the most and least popular, see how visitors navigate their site and where visitors are coming from."
CONTENT_NAME,"Content selection, delivery, and reporting","Indholdsvalg, levering og rapportering","Content selection, delivery and reporting","Auswahl, Bereitstellung und Berichterstattung von Inhalten","Content Selection, Delivery and Reporting","Seleção de conteúdo, entrega e relatórios","Content selection, delivery and reporting"
CONTENT_DESCRIPTION,"Collection of information, and combination with previously collected information, to select and deliver content for you, and to measure the delivery and effectiveness of such content. This includes using previously collected information about your interests to select content, processing data about what <b>content</b> was shown, how often or how long it was shown, when and where it was shown, and whether you took any action related to the content, including for example clicking on content. The data will be used to personalise content on the website itself, but also in other contexts such as other websites, apps, browsers, and devices.","Indsamling af oplysninger og kombination med tidligere indsamlede oplysninger, for at vælge og levere indhold til dig og for at måle levering og effektivitet af sådant indhold. Dette inkluderer tidligere indsamlet information om dine interesser for at vælge indhold, behandle data om, hvad <b>indhold</b> der blev vist, hvor ofte eller hvor længe det blev vist, hvornår og hvor det blev vist, og om du tog nogen handling relateret til indholdet, herunder for eksempel at klikke på indhold. Dataene vil blive brugt til at personliggøre indhold på selve hjemmesiden, men også i andre sammenhænge som andre hjemmesider, apps, browsere og enheder.","Collecting information and combining it with previously collected information to select and deliver content to you and to measure the delivery and effectiveness of such content. This includes previously collected information about your interests to select content, process data about what <b>content</b> was viewed, how often or how long it was viewed, when and where it was viewed, and whether you took any action related to the Content, including, for example, clicking on Content. The data will be used to personalize content on the website itself, but also in other contexts such as other websites, apps, browsers and devices.","Sammlung von Informationen und Kombination mit zuvor gesammelten Informationen, um Inhalte für Sie auszuwählen und bereitzustellen und um die Bereitstellung und Effektivität dieser Inhalte zu messen. Dies beinhaltet die Verwendung von zuvor gesammelten Informationen über Ihre Interessen zur Auswahl von Inhalten, der Verarbeitung von Daten darüber, welche <b>Inhalte</b> gezeigt wurden, wie häufig oder wie lange diese gezeigt wurden, wann und wo sie gezeigt wurden und ob Sie irgendeine Aktion im Zusammenhang mit den Inhalten durchgeführt haben, z. B. das Anklicken von Inhalten. Die Daten werden dazu verwendet Inhalte auf der Website selbst, aber auch in anderen Kontexten wie anderen Websites, Apps, Browsern und Geräten, zu personalisieren.","Collection of information and combination with previously collected information to select and deliver content to you and to measure the delivery and effectiveness of that content. This includes using previously collected information about your interests to select content, processing data on what <b>content</b> was shown, how often or for how long it was shown, when and where it was shown and whether you have taken any action in connection with the content, e.g. B. clicking on content. The data is used to personalize content on the website itself, but also in other contexts such as other websites, apps, browsers and devices.","Coleta de informações e combinação com informações coletadas anteriormente para selecionar e fornecer conteúdo para você e para medir a entrega e a eficácia de tal conteúdo. Isso inclui o uso de informações coletadas anteriormente sobre seus interesses para selecionar conteúdo, processar dados sobre qual <b>conteúdo</b> foi exibido, com que frequência ou por quanto tempo foi exibido, quando e onde foi exibido e se você realizou alguma ação relacionados ao conteúdo, incluindo, por exemplo, clicar no conteúdo. Os dados serão usados para personalizar o conteúdo do próprio site, mas também em outros contextos, como outros sites, aplicativos, navegadores e dispositivos.","Collection of information and combination with previously collected information to select and provide content to you and to measure the delivery and effectiveness of such content. This includes using previously collected information about your interests to select content, process data about what <b>content</b> was displayed, how often or for how long it was displayed, when and where it was displayed, and whether you performed any action related to the content, including, for example, clicking on the content. The data will be used to personalize the content of the website itself, but also in other contexts, such as other websites, applications, browsers and devices."
AD_NAME,"Ad selection, delivery, and reporting","Annoncevalg, levering og rapportering","Ad selection, delivery and reporting","Anzeigenauswahl, -zustellung  und -berichterstattung","Ad selection, delivery and reporting","Seleção, exibição e relatórios de anúncios","Ad selection, display and reporting"
AD_DESCRIPTION,"Collection of information, and combination with previously collected information, to select and deliver advertisements, and to measure the delivery and effectiveness of such advertisements. This includes using previously collected information about your interests to select ads, processing data about what <b>advertisements</b> were shown, how often they were shown, when and where they were shown, and whether you took any action related to the advertisement, including for example clicking an ad or making a purchase. The data will be used to personalise advertising on the website itself, but also in other contexts such as other websites, apps, browsers, and devices.<br><br>Also includes:<br>Google","Indsamling af oplysninger og kombination med tidligere indsamlet information for at vælge og levere reklamer og for at måle levering og effektivitet af sådanne annoncer. Dette omfatter ved hjælp af tidligere indsamlede oplysninger om dine interesser for at vælge annoncer, behandlingsdata om, hvad <b>reklamer</b> der blev vist, hvor ofte de blev vist, hvornår og hvor de blev vist, og om du tog nogen handling relateret til annoncen, herunder for eksempel at klikke på en annonce eller foretage et køb. Dataene vil blive brugt til at personliggøre reklamer på selve hjemmesiden, men også i andre sammenhænge som andre hjemmesider, apps, browsere og enheder.<br><br>Inkluderer:<br> Google","Collecting information and combining it with previously collected information to select and deliver advertisements and to measure the delivery and effectiveness of such advertisements. This includes using previously collected information about your interests to select ads, processing data about what <b>advertisements</b> were shown, how often they were shown, when and where they were shown, and whether you took any action related to the ad, including, for example, clicking on an ad or making a purchase. The data will be used to personalize advertising on the website itself, but also in other contexts such as other websites, apps, browsers and devices.<br><br>Includes:<br> Google","Sammlung von Informationen und Kombination mit zuvor gesammelten Informationen, um Werbung für Sie auszuwählen und bereitzustellen und um die Bereitstellung und Effektivität solcher Werbung zu messen. Dies beinhaltet die Verwendung von zuvor erfasster Informationen über Ihre Interessen zur Auswahl von Werbungen, der Verarbeitung von Daten darüber, welche <b>Werbungen</b> gezeigt wurden, wie häufig diese gezeigt wurden, wann und wo sie gezeigt wurden und ob Sie irgendeine Aktion im Zusammenhang mit den Werbungen durchgeführt haben, z. B. auf eine Anzeige klicken oder einen Kauf tätigen. Die Daten werden dazu verwendet Werbung auf der Website selbst, aber auch in anderen Kontexten wie anderen Websites, Apps, Browsern und Geräten, zu personalisieren.<br><br>Beinhaltet auch:<br>Google","Collection of information and combination with previously collected information to select and deliver advertisements to you and to measure the delivery and effectiveness of such advertisements. This includes using previously collected information about your interests to select ads, processing data about what <b>advertisements</b> were shown, how often they were shown, when and where they were shown and if you have any have taken action in connection with the advertisements, e.g. B. Click on an ad or make a purchase. The data is used to personalize advertising on the website itself, but also in other contexts such as other websites, apps, browsers and devices.<br><br>Also includes:<br>Google","Coleta de informações e combinação com informações coletadas anteriormente para selecionar e entregar anúncios e medir a entrega e eficácia de tais anúncios. Isso inclui o uso de informações coletadas anteriormente sobre seus interesses para selecionar anúncios, processar dados sobre quais <b>anúncios</b> foram exibidos, com que frequência foram exibidos, quando e onde foram exibidos e se você realizou alguma ação relacionada ao anúncio, incluindo, por exemplo, clicar em um anúncio ou fazer uma compra. Os dados serão usados para personalizar a publicidade no próprio site, mas também em outros contextos, como outros sites, aplicativos, navegadores e dispositivos.<br><br>Também inclui:<br>Google","Collection of information and combination with previously collected information to select and deliver advertisements and measure the delivery and effectiveness of such advertisements. This includes using previously collected information about your interests to select ads, process data about which <b>ads</b> were displayed, how often they were displayed, when and where they were displayed, and whether you took any ad-related action. , including, for example, clicking on an ad or making a purchase. The data will be used to personalize advertising on the website itself, but also in other contexts such as other websites, applications, browsers and devices.<br><br>Also includes:<br>Google"
OTHER_NAME,Other Purposes,Andre formål,Other purposes,Andere Zwecke,other purposes,Outras Finalidades,Other Purposes
OTHER_DESCRIPTION,Unclassified data collection for which the purpose is not clearly described by the website or where the data collection and processing does not fit any other category,"Uklassificeret dataindsamling, for hvilket formålet ikke er tydeligt beskrevet af hjemmesiden, eller hvor dataindsamling og -behandlingen ikke passer til nogen anden kategori","Unclassified data collection, for which the purpose is not clearly described by the website, or where the data collection and processing does not fit into any other category","Nicht klassifizierte Datenerhebung, deren Zweck auf der Website nicht eindeutig beschrieben ist, oder deren Erhebung und Verarbeitung in keine andere Kategorie fällt","Unclassified data collection, the purpose of which is not clearly described on the website, or the collection and processing of which does not fall into any other category",Coleta de dados não classificados para as quais a finalidade não é claramente descrita pelo site ou onde a coleta e o processamento de dados não se enquadram em nenhuma outra categoria,Collection of unclassified data for which the purpose is not clearly described by the website or where the collection and processing of data does not fall into any other category
AUTOFILL_NOT_WORKING,GDPR autofill didn't work?,Virkede autoudfyldningen ikke?,Did the autofill not work?,GDPR-Autofill hat nicht funktioniert?,GDPR autofill didn't work?,O preenchimento automático do GDPR não funcionou?,GDPR autocomplete not working?
LET_US_KNOW,Let us know!,Fortæl os!,Tell us!,Lassen Sie es uns wissen!,Let us know!,Nos informe!,Inform us!
KEEP_RUNNING,Keep running on this site?,Fortsæt med at køre på denne side?,Continue driving on this page?,Weiter auf dieser Website ausführen?,Continue on this site?,Continuar executando neste site?,Continue running on this site?
MORE_ADDON_SETTINGS,More Add-on Settings,Flere addon indstillinger,More addon settings,Weitere Add-on-Einstellungen,More add-on settings,Mais configurações do Add-on,More Addon Settings
EDITOR_HEADER,GDPR Consent Rules Editor,GDPR samtykke regel-editor,GDPR consent rule editor,Editor für die GDPR-Zustimmungsregeln,Editor for the GDPR consent rules,Editor de regras de consentimento GDPR,GDPR Consent Rule Editor
MENU,Menu,Menu,Menu,Menü,menu,Menu,Menu
BACK,Back,Tilbage,Back,Zurück,Return,Voltar,Come back
SAVE_CUSTOM_RULE,Save Custom Rule,Gem brugerdefineret regel,Save custom rule,Benutzerdefinierte Regel speichern,Save custom rule,Salvar regra customizada,Save custom rule
EXPORT_JSON,Export JSON,Eksportér JSON,Export JSON,JSON exportieren,Export JSON,Exportar JSON,Export JSON
COLLAPSE_ALL,Collapse All,Skjul alle,Hide all,Alle ausblenden,Hide all,Recolher Todos,Collect all
UNCOLLAPSE_ALL,Uncollapse all,Vis alle,Show all,Alle anzeigen,Show all,Expandir Todos,Expand All
DRAGGABLE_ELEMENTS,Draggable Elements,Trækbare elementer,Drawable elements,Verschiebbare Elemente,Movable items,Elementos Arrastáveis,Dragable Elements
DETECTOR,Detector,Detektor,Detector,Detektor,Detector,Detector,Detector
CSS_MATCHER,CssMatcher,CssSammenligner,CssCompare,CssAbgleich,cssmatch,CssMatcher,CssMatcher
URL_MATCHER,UrlMatcher,UrlSammenligner,UrlComparer,UrlAbgleich,UrlMatch,UrlMatcher,UrlMatcher
URL_MATCHER_DESCRIPTION,Matches 'location.origin' against a list of urls,Matcher 'location.origin' mod en liste over URL'er,Matches 'location.origin' against a list of URLs,Gleicht 'location.origin' mit einer Liste von URLs ab,Matches 'location.origin' against a list of URLs,Corresponde a 'location.origin' a uma lista de URLs,Matches 'location.origin' to a list of URLs
URL_LABEL,Url,Url,Url,Url,Url,Url,Url
URL_LABEL_HELP,"The urls to test against, if one matches the matcher is true","Webadresserne til at teste op imod, hvis en af dem matcher, er sammenligneren sand","The URLs to test against, if one of them matches the comparator is true","Die URLs, gegen die getestet werden soll, wenn einer übereinstimmt, ist der Matcher wahr","The URLs to test against, if any match, the matcher is true","Os URLs para testar, se um corresponder, o matcher é verdadeiro","The URLs to test, if one matches, the matcher is true"
REGEXP_LABEL,RegExp,RegExp,RegExp,RegExp,RegExp,RegExp,RegExp
REGEXP_LABEL_HELP,Treats the url as a regular expression.,Behandler url'en som et regulært udtryk.,Treats the url as a regular expression.,Behandelt die URL als regulären Ausdruck.,Treats the URL as a regular expression.,Trata o URL como uma expressão regular.,Treat the URL as a regular expression.
CHECKBOX_MATCHER,CheckboxMatcher,CheckboksSammenligner,Checkbox Compares,CheckboxAbgleich,CheckboxAbgleich,CheckboxMatcher,CheckboxMatcher
CLICK_ACTION,ClickAction,KlikHandling,ClickHandling,KlickAktion,ClickAction,ClickAction,ClickAction
MULTICLICK_ACTION,MultiClickAction,MultiKlikHandling,MultiClickAction,MultiKlickAktion,MultiClickAction,MultiClickAction,MultiClickAction
CONSENT_ACTION,ConsentAction,SamtykkeHandling,Consent Act,ZustimmungAktion,consentaction,ConsentAction,ConsentAction
LIST_ACTION,ListAction,ListeHandling,ListAction,ListenAktion,ListenAktion,ListAction,ListAction
WAIT_CSS_ACTION,WaitCssAction,VentCssHandling,VentCssHandling,WarteCssAktion,WaitCssAction,WaitCssAction,WaitCssAction
IF_CSS_ACTION,IfCssAction,IfCssHandling,IfCssHandling,IfCssAktion,IfCssAction,IfCssAction,IfCssAction
FOR_EACH_ACTION,ForEachAction,ForEachHandling,ForEachHandling,BeiJederAktion,AtEveryAction,ForEachAction,ForEachAction
SLIDE_ACTION,SlideAction,SlideHandling,SlideHandling,SchiebeAktion,slide action,SlideAction,SlideAction
CLOSE_ACTION,CloseAction,LukHandling,LukHandling,SchliessAktion,closing action,CloseAction,CloseAction
HIDE_ACTION,HideAction,SkjulHandling,HideAction,AusblendeAktion,HideAction,HideAction,HideAction
WAIT_ACTION,WaitAction,VentHandling,VentHandling,WarteAktion,WaitAction,WaitAction,WaitAction
CONSENT,Consent,Samtykke,Consent,Zustimmung,approval,Consentimento,Consent
CONSENTS,Consents,Samtykker,Consent,Zustimmungen,consents,Consentimentos,consents
DOM_SELECTOR,DOMSelector,DOMVælger,JUDGMENT voter,DOMWähler,DOM voter,DOMSelector,DOMSelector
